id,fr,en,ja
oeufs,oeufs,eggs,卵
oignon,oignon,onion,玉ねぎ
oiseau,oiseau,bird,鳥
orange,orange,orange,オレンジ
os,os,bone,骨
pain,pain,bread,パン
pantalon,pantalon,pants,ズボン
papillon,papillon,butterfly,蝶
parachute,parachute,parachute,パラシュート
parapluie,parapluie,umbrella,傘
patate,patate,potato,じゃがいも
patins,patins,skates,スケート
phoque,phoque,seal,シール
piano,piano,piano,ピアノ
pied,pied,foot,足
pierre,pierre,rock,石
pinceau,pinceau,brush,筆
piscine,piscine,pool,プール
pneu,pneu,tire,タイヤ
poisson,poisson,fish,魚
police,police,police,警察
pomme,pomme,apple,りんご
pompier,pompier,fireman,消防士
pont,pont,bridge,橋
porte,porte,door,ドア
poule,poule,chicken,鶏
princesse,princesse,princess,プリンセス
reine,reine,queen,女王
renard,renard,fox,きつね
rouge,rouge,red,赤
roi,roi,king,王様 
rose,rose,pink,ピンク 
route,route,road,道路
sac,sac,bag,バック 
sandwich,sandwich,sandwich,サンドイッチ
savon,savon,soap,石鹸
seau,seau,bucket,バケツ 
serpent,serpent,snake,蛇
sifflet,sifflet,whistle,笛
singe,singe,monkey,猿
soleil,soleil,sun,太陽 
sorciere,sorcière,witch,魔女 
soupe,soupe,soup,スープ 
souris,souris,mouse,マウス 
soustraction,soustraction,substraction,引き算
table,table,table,机
tambour,tambour,drum,ドラム 
tapis,tapis,carpet,カーペット
tarte,tarte,pie,タルト
timbre,timbre,stamp,スタンプ 
toilette,toilette,toilet,トイレ 
tomate,tomate,tomato,トマト 
tonneau,tonneau,barrel,バレル 
train,train,train,電車
tuyau,tuyau,pipe,パイプ
ustensile,ustensile,cutlery,食器
vague,vague,wave,なみ
vampire,vampire,vampire,吸血鬼
verre,verre,glass,ガラス
vers,vers,worm,ワーム
vert,vert,green,緑 
violon,violon,violin,バイオリン
vis,vis,screw,ねじ 
yeux,yeux,eyes,目
legumes,légumes,vegetable,野菜 
lion,lion,lion,ライオン
bebe,bébé,baby,赤ちゃん 
camera,caméra,camera,カメラ 
cle,clé,key,鍵 
clindoeil,clin d'oeil,wink,ウインク 
cloture,clôture,fence,柵 
desert,désert,desert,砂漠 
dessert,dessert,dessert,デザート
elephant,éléphant,elephant,像 
epinglealinge,épingle à linge,clothespin,洗濯バサミ 
evier,évier,sink,シンク 
explosion,explosion,explosion,爆発
fantome,fantôme,ghost,幽霊 
fenetre,fenêtre,window,窓 
fleche,flèche,arrow,矢印 
fusee,fusée,rocket,ロケット
gateau,gâteau,cake,ケーキ 
hopital,hôpital,hospital,病院 
planete,planète,planet,惑星
refrigerateur,réfrigérateur,refrigerator,冷蔵庫 
regle,règle,ruler,ルール 
riviere,rivière,river,川
sirene,sirène,mermaid,人形 
telephone,téléphone,phone,電話 
television,télévision,television,テレビ 
zebre,zèbre,zebra,シマウマ 
